,City,Country,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Current Description
24,Hobart,AU,-42.8794,147.3294,53.26,60,40,5.01,scattered clouds
25,Isangel,VU,-19.55,169.2667,75.16,56,27,13.22,scattered clouds
26,Nanortalik,GL,60.1432,-45.2371,37.06,90,44,9.75,scattered clouds
27,Fernley,US,39.608,-119.2518,68.11,30,7,5.99,clear sky
28,Ushuaia,AR,-54.8,-68.3,40.66,75,75,23.02,light intensity drizzle
29,Borovskoy,KZ,53.8,64.15,33.48,72,18,11.68,few clouds
30,Troitskoye,RU,52.9821,84.6757,42.26,70,18,13.98,few clouds
31,Roald,NO,62.5833,6.1333,59.16,100,75,3.44,broken clouds
32,Fairbanks,US,64.8378,-147.7164,50.59,63,75,0.0,broken clouds
33,Cape Town,ZA,-33.9258,18.4232,59.88,80,64,5.99,light rain
34,Chokurdakh,RU,70.6333,147.9167,33.12,57,76,10.4,broken clouds
35,Yellowknife,CA,62.456,-114.3525,42.37,69,100,8.46,overcast clouds
36,Clyde River,CA,70.4692,-68.5914,28.62,61,83,2.01,broken clouds
37,Saint-Philippe,RE,-21.3585,55.7679,63.99,79,30,11.7,light rain
38,Snezhnogorsk,RU,69.1933,33.2531,22.78,81,31,9.1,scattered clouds
39,Muros,ES,42.7762,-9.0603,61.23,92,22,11.79,few clouds
40,Vaini,TO,-21.2,-175.2,77.16,73,20,13.8,few clouds
41,Punta Arenas,CL,-53.15,-70.9167,41.11,70,20,18.41,few clouds
42,Syra,GR,37.4423,24.9425,79.29,83,0,8.05,clear sky
43,Butaritari,KI,3.0707,172.7902,83.32,64,6,11.77,clear sky
44,Tūkrah,LY,32.5341,20.5791,81.88,38,0,2.68,clear sky
45,Khatanga,RU,71.9667,102.5,31.91,99,100,13.15,snow
46,Mgandu,TZ,-5.95,34.1333,62.65,58,11,10.65,few clouds
47,Leningradskiy,RU,69.3833,178.4167,29.1,82,98,18.97,overcast clouds
48,Ileza,RU,61.0533,43.9002,36.37,70,100,4.9,overcast clouds
49,Bluff,NZ,-46.6,168.3333,54.27,68,99,16.96,overcast clouds
50,Maceió,BR,-9.6658,-35.7353,72.84,100,0,2.3,clear sky
51,New Norfolk,AU,-42.7826,147.0587,52.92,71,64,12.71,broken clouds
52,Barrow,US,71.2906,-156.7887,30.22,86,75,12.66,snow
53,Rio Grande,BR,-32.035,-52.0986,66.94,99,100,11.43,overcast clouds
54,Berlevåg,NO,70.8578,29.0864,42.62,75,100,23.38,overcast clouds
55,Hualmay,PE,-11.0964,-77.6139,60.64,80,25,11.48,scattered clouds
56,Mahébourg,MU,-20.4081,57.7,64.26,63,47,9.95,scattered clouds
57,Provideniya,RU,64.3833,-173.3,37.51,48,40,15.66,scattered clouds
58,Hermanus,ZA,-34.4187,19.2345,55.9,78,27,15.64,scattered clouds
59,Tautira,PF,-17.7333,-149.15,80.62,78,59,15.66,light rain
60,Berani,PK,25.785,68.8069,82.49,63,37,15.97,scattered clouds
61,Pachelma,RU,53.2443,43.3521,46.83,55,100,18.32,moderate rain
62,Atuona,PF,-9.8,-139.0333,78.28,75,13,21.63,few clouds
63,Lüderitz,NA,-26.6481,15.1594,52.99,85,32,9.57,scattered clouds
64,Boyuibe,BO,-20.4167,-63.2833,84.6,34,0,17.0,clear sky
65,Lompoc,US,34.6391,-120.4579,71.22,82,40,13.8,scattered clouds
66,Adrar,DZ,25.75,-1.0,90.59,12,81,13.49,broken clouds
67,Avarua,CK,-21.2078,-159.775,78.85,73,20,11.5,few clouds
68,Tuktoyaktuk,CA,69.4541,-133.0374,41.74,65,67,8.55,broken clouds
69,Bontang,ID,0.1333,117.5,81.77,77,66,6.04,broken clouds
70,Puerto Ayora,EC,-0.7393,-90.3518,68.56,92,44,5.01,scattered clouds
71,Kaitangata,NZ,-46.2817,169.8464,58.86,52,99,4.07,overcast clouds
72,Kapaa,US,22.0752,-159.319,80.58,73,75,4.0,broken clouds
73,Kardamás,GR,37.7667,21.3333,76.6,94,0,4.61,clear sky
74,Margate,ZA,-30.8636,30.3705,64.26,88,14,4.41,few clouds
75,Dobrinka,RU,52.1653,40.4731,49.06,88,100,17.87,overcast clouds
76,Honningsvåg,NO,70.9821,25.9704,44.26,76,100,28.57,overcast clouds
77,Notre-Dame-du-Lac,CA,47.6136,-68.7964,49.44,75,0,1.97,clear sky
78,Oranjemund,NA,-28.55,16.4333,57.87,69,100,6.35,overcast clouds
79,Norman Wells,CA,65.282,-126.8329,44.24,69,92,1.41,overcast clouds
80,Terra Santa,BR,-2.1042,-56.4869,76.33,82,68,3.0,broken clouds
81,Aykhal,RU,66.0,111.5,33.62,67,100,11.27,overcast clouds
82,Mandalgovi,MN,45.7625,106.2708,54.05,73,15,10.29,few clouds
83,Longyearbyen,SJ,78.2186,15.6401,37.24,100,90,0.0,mist
84,Dikson,RU,73.5069,80.5464,35.33,76,100,17.81,overcast clouds
85,Tiksi,RU,71.6872,128.8694,34.86,70,88,19.08,overcast clouds
86,Torbay,CA,47.6666,-52.7314,54.75,97,90,20.71,moderate rain
87,San Quintín,MX,30.4833,-115.95,67.96,77,0,11.7,clear sky
88,Alofi,NU,-19.0595,-169.9187,77.43,72,2,4.38,light rain
89,Saldanha,ZA,-33.0117,17.9442,57.25,85,97,14.7,light rain
90,Sechura,PE,-5.5569,-80.8222,64.13,78,10,14.9,clear sky
91,Miracema do Tocantins,BR,-9.5618,-48.3967,85.69,26,51,3.36,broken clouds
92,Ponta do Sol,CV,17.1994,-25.0919,80.38,82,94,9.24,overcast clouds
93,Slobidka,UA,47.8869,29.3461,47.14,77,100,11.3,overcast clouds
94,Luwingu,ZM,-10.2621,29.9271,58.93,75,0,4.09,clear sky
95,Richards Bay,ZA,-28.783,32.0377,64.98,75,95,14.63,light rain
96,Bredasdorp,ZA,-34.5322,20.0403,51.12,82,0,5.75,clear sky
97,Upernavik,GL,72.7868,-56.1549,24.91,64,97,8.86,overcast clouds
98,Katsuura,JP,35.1333,140.3,77.11,61,40,18.41,scattered clouds
99,Stuttgart,US,34.5004,-91.5526,78.24,94,1,6.91,clear sky
100,Gorontalo,ID,0.5412,123.0595,86.76,64,47,3.27,scattered clouds
101,Carnarvon,AU,-24.8667,113.6333,86.07,9,0,21.85,clear sky
102,Lavrentiya,RU,65.5833,-171.0,33.71,60,67,14.05,broken clouds
103,Ruteng,ID,-8.6136,120.4721,69.01,72,95,0.6,overcast clouds
104,Qaanaaq,GL,77.484,-69.3632,10.62,82,19,7.45,few clouds
105,Kijang,ID,0.9,104.6333,84.11,67,83,9.42,broken clouds
106,Padang,ID,-0.9492,100.3543,84.25,78,91,2.1,overcast clouds
107,Saint Paul Harbor,US,57.79,-152.4072,48.36,70,100,6.73,overcast clouds
108,Ţahţā,EG,26.7693,31.5021,81.61,30,0,8.23,clear sky
109,Kirakira,SB,-10.4544,161.9205,84.06,73,91,14.18,overcast clouds
110,Tocopilla,CL,-22.092,-70.1979,61.74,73,54,7.56,broken clouds
111,Qaqortoq,GL,60.7167,-46.0333,41.5,87,44,3.4,scattered clouds
112,Baiyin,CN,36.5583,104.2081,63.14,42,0,16.2,clear sky
113,Bom Jesus,BR,-9.0744,-44.3586,76.53,34,84,2.15,broken clouds
114,Aripuanã,BR,-9.1667,-60.6333,79.2,56,36,1.36,scattered clouds
115,São Filipe,CV,14.8961,-24.4956,79.75,83,100,11.16,overcast clouds
116,Port Elizabeth,ZA,-33.918,25.5701,55.69,82,0,10.36,clear sky
117,Kameyama,JP,34.85,136.45,78.19,84,92,4.16,overcast clouds
118,Galveston,US,29.3669,-94.9669,83.21,87,0,1.01,clear sky
119,Ribeira Grande,PT,38.5167,-28.7,70.21,66,33,13.15,scattered clouds
120,Balyqshy,KZ,47.0667,51.8667,50.0,43,0,11.18,clear sky
121,Campina Verde,BR,-19.5356,-49.4864,82.96,23,10,4.36,clear sky
122,Talnakh,RU,69.4865,88.3972,34.47,77,100,8.63,overcast clouds
123,Falmouth,JM,18.4936,-77.6559,82.38,81,88,6.93,overcast clouds
124,Tiarei,PF,-17.5333,-149.3333,80.62,78,22,16.2,few clouds
125,Nyurba,RU,63.2842,118.3319,38.16,52,12,1.88,few clouds
126,Denpasar,ID,-8.65,115.2167,78.46,94,40,4.61,scattered clouds
127,Castro,CL,-42.4721,-73.7732,46.38,85,0,4.61,clear sky
128,Kaka,TM,37.3482,59.6143,67.89,28,0,5.19,clear sky
129,Port Lincoln,AU,-34.7333,135.8667,53.42,60,100,23.67,overcast clouds
130,Isla Mujeres,MX,21.2311,-86.731,84.25,84,38,8.19,scattered clouds
131,Alyangula,AU,-13.8483,136.4192,83.07,59,100,7.16,overcast clouds
132,Wewak,PG,-3.5534,143.6268,83.73,69,85,3.24,overcast clouds
133,Lima,PE,-12.0432,-77.0282,59.25,82,90,11.5,overcast clouds
134,Hasaki,JP,35.7333,140.8333,75.6,61,6,16.75,clear sky
135,San Cristobal,EC,-0.9045,-89.6174,69.44,83,69,14.07,broken clouds
136,Deputatsky,RU,69.3,139.9,23.97,81,100,9.04,overcast clouds
137,East London,ZA,-33.0153,27.9116,60.21,82,18,12.15,few clouds
138,São Felipe,BR,-14.8167,-41.3833,72.72,43,55,2.95,broken clouds
139,Bundaberg,AU,-24.85,152.35,80.22,53,0,7.0,clear sky
140,Tuatapere,NZ,-46.1333,167.6833,50.25,77,100,8.95,overcast clouds
141,Saurimo,AO,-9.6608,20.3916,64.38,80,99,3.85,overcast clouds
142,Fonte Boa,BR,-2.4959,-66.2662,79.45,76,100,1.88,overcast clouds
143,Lebu,CL,-37.6167,-73.65,47.64,82,0,15.28,clear sky
144,Iqaluit,CA,63.7506,-68.5145,28.13,86,40,6.91,scattered clouds
145,Petaluma,US,38.2324,-122.6367,75.16,74,1,1.99,clear sky
146,Sur,OM,22.5667,59.5289,81.05,74,1,7.25,clear sky
147,Mbandaka,CD,0.0487,18.2603,68.04,99,82,2.73,broken clouds
148,Nouadhibou,MR,20.931,-17.0347,76.98,78,0,12.66,clear sky
149,Georgetown,SH,-7.9333,-14.4167,75.07,80,94,18.99,overcast clouds
150,Port Alfred,ZA,-33.5906,26.891,57.85,88,43,11.45,scattered clouds
151,Nushki,PK,29.5542,66.0215,73.42,12,0,2.82,clear sky
152,Rocha,UY,-34.4833,-54.3333,61.61,98,100,5.75,overcast clouds
153,Praia da Vitória,PT,38.7333,-27.0667,69.76,88,40,12.01,scattered clouds
154,Kahului,US,20.8947,-156.47,84.22,55,40,25.32,scattered clouds
155,Bambous Virieux,MU,-20.3428,57.7575,66.45,72,20,5.75,few clouds
156,Kilindoni,TZ,-7.9139,39.6668,76.86,73,87,20.07,overcast clouds
157,Tabas,IR,33.5959,56.9244,76.89,17,0,1.88,clear sky
158,Constitución,CL,-35.3333,-72.4167,48.56,85,0,9.46,clear sky
159,Kavieng,PG,-2.5744,150.7967,84.34,69,99,6.17,overcast clouds
160,Touros,BR,-5.1989,-35.4608,77.9,72,98,15.52,overcast clouds
161,Livingston,US,40.7959,-74.3149,68.95,78,1,1.99,clear sky
162,Murwāra,IN,23.85,80.4,77.0,87,6,3.0,clear sky
163,Belaya Gora,RU,68.5333,146.4167,33.12,57,100,12.97,overcast clouds
164,Souillac,MU,-20.5167,57.5167,66.58,72,20,5.75,few clouds
165,Jamestown,SH,-15.9387,-5.7168,61.59,79,100,18.9,overcast clouds
166,Kutoarjo,ID,-7.7169,109.9128,81.68,70,63,7.9,broken clouds
167,Yumen,CN,40.2833,97.2,74.17,15,45,12.59,scattered clouds
168,Klimovo,RU,52.3805,32.1923,47.98,98,100,6.69,light rain
169,Ilulissat,GL,69.2167,-51.1,24.82,54,100,10.36,overcast clouds
170,Prabumulih,ID,-3.45,104.25,84.13,68,84,2.57,broken clouds
171,Langxiang,CN,46.95,128.8833,57.27,51,100,3.18,overcast clouds
172,Sobolevo,RU,54.4299,31.8996,42.35,96,100,13.11,overcast clouds
173,Locri,IT,38.2414,16.2623,79.56,81,0,13.24,clear sky
174,Bilma,NE,18.6853,12.9164,84.43,15,0,3.98,clear sky
175,Mehamn,NO,71.0357,27.8492,43.52,72,100,15.48,overcast clouds
176,Ixtapa,MX,20.7,-105.2,76.23,94,90,4.61,overcast clouds
177,Chumikan,RU,54.7183,135.315,54.61,47,15,15.43,few clouds
178,Sitka,US,57.0531,-135.33,55.29,76,75,4.61,broken clouds
179,Arraial do Cabo,BR,-22.9661,-42.0278,71.8,87,100,12.26,overcast clouds
180,Nipawin,CA,53.3668,-104.0009,53.64,62,1,4.61,clear sky
181,Province of Ragusa,IT,36.9167,14.6,71.11,94,0,3.44,clear sky
182,Ust'-Kulom,RU,61.6864,53.6902,32.52,82,25,7.31,scattered clouds
183,Rozsypne,UA,48.1497,38.5762,57.04,91,41,4.34,scattered clouds
184,Bethel,US,41.3712,-73.414,62.91,87,1,4.61,clear sky
185,Geraldton,AU,-28.7667,114.6,72.01,46,0,23.02,clear sky
186,Lethem,GY,3.3803,-59.7968,77.77,77,100,4.97,light rain
187,Mount Isa,AU,-20.7333,139.5,91.17,18,10,14.97,clear sky
188,Evensk,RU,61.95,159.2333,47.84,89,100,11.12,light rain
189,Oranjestad,AW,12.524,-70.027,82.35,78,20,13.8,few clouds
190,High Level,CA,58.5169,-117.136,48.31,71,20,5.75,few clouds
191,Deep River,CA,46.1001,-77.4995,53.94,70,0,3.33,clear sky
192,Mayumba,GA,-3.432,10.6554,73.67,83,96,3.2,overcast clouds
193,Flinders,AU,-34.5833,150.8552,78.21,33,0,10.0,clear sky
194,Aklavik,CA,68.2191,-135.0107,45.43,54,9,4.99,clear sky
195,Hervey Bay,AU,-25.2986,152.8535,80.04,67,0,11.3,clear sky
196,Itambé,BR,-15.245,-40.6244,65.19,70,50,2.77,scattered clouds
197,Chui,UY,-33.6971,-53.4616,62.4,98,100,5.84,moderate rain
198,Half Moon Bay,US,37.4636,-122.4286,73.22,83,20,24.16,few clouds
199,Porto Tolle,IT,44.9497,12.3245,62.62,82,3,9.55,clear sky
200,Rassvet,RU,46.8333,40.75,61.93,99,100,8.95,overcast clouds
201,Manzhouli,CN,49.6,117.4333,55.58,63,100,6.15,overcast clouds
202,Kieta,PG,-6.2167,155.6333,82.96,77,100,6.11,moderate rain
203,San Patricio,MX,19.2167,-104.7,80.71,89,90,0.0,overcast clouds
204,Shelburne,CA,44.0787,-80.2041,57.99,70,0,7.0,clear sky
205,Sawtell,AU,-30.3833,153.1,73.42,60,0,11.5,clear sky
206,São João da Barra,BR,-21.6403,-41.0511,74.52,85,100,5.35,overcast clouds
207,Naze,JP,28.3667,129.4833,78.93,65,7,3.76,clear sky
208,Sol'-Iletsk,RU,51.1631,54.9918,39.45,61,37,5.1,scattered clouds
209,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,92.91,22,2,12.37,clear sky
210,Haligue,PH,13.6667,121.1167,81.82,78,100,5.68,overcast clouds
211,Pisco,PE,-13.7,-76.2167,61.02,87,3,2.35,clear sky
212,Vao,NC,-22.6667,167.4833,67.66,67,95,16.11,overcast clouds
213,Ballina,IE,54.1167,-9.1667,58.71,96,16,5.95,few clouds
214,Fortuna,US,40.5982,-124.1573,66.18,89,8,6.22,clear sky
215,Katherine,AU,-14.4667,132.2667,91.72,25,0,19.57,clear sky
216,Cayenne,GF,4.9333,-52.3333,83.08,81,0,1.99,clear sky
217,Cidreira,BR,-30.1811,-50.2056,66.63,96,100,19.3,overcast clouds
218,Saint George,BM,32.3817,-64.6781,80.74,74,20,9.22,few clouds
219,Qeshm,IR,26.9581,56.2719,85.89,76,6,11.1,clear sky
220,Husavik,IS,66.0449,-17.3389,44.51,78,100,8.21,overcast clouds
221,Antalaha,MG,-14.9003,50.2788,70.56,79,99,10.51,overcast clouds
222,San Isidro,PH,15.0199,120.8175,87.12,71,99,4.97,moderate rain
223,Lorengau,PG,-2.0226,147.2712,85.84,66,82,7.14,broken clouds
224,Zhoucun,CN,36.8167,117.8167,63.52,96,100,13.91,light rain
225,Woodstock,CA,43.1334,-80.7497,60.91,86,0,8.19,clear sky
226,Mayo,CA,63.5927,-135.8998,50.0,43,20,2.3,few clouds
227,Ribeira Brava,CV,16.6167,-24.3,78.49,86,92,9.35,overcast clouds
228,Makakilo City,US,21.3469,-158.0858,86.32,54,20,12.66,few clouds
229,Samarai,PG,-10.6167,150.6667,79.38,87,100,15.57,overcast clouds
230,Ndola,ZM,-12.9587,28.6366,60.19,68,0,4.25,clear sky
231,Garh Maharaja,PK,30.8339,71.9053,89.42,46,61,9.17,broken clouds
232,Zeya,RU,53.75,127.2667,53.65,65,85,3.49,overcast clouds
233,Vostok,RU,46.4856,135.8833,56.61,39,45,4.36,scattered clouds
234,Marabu,MY,4.4148,114.0089,80.74,89,40,4.61,moderate rain
235,Sorong,ID,-0.8833,131.25,83.05,73,100,4.18,light rain
236,Atar,MR,20.5169,-13.0499,86.11,38,9,11.88,clear sky
237,Roebourne,AU,-20.7833,117.1333,87.15,14,10,22.79,clear sky
238,Wajid,SO,3.8093,43.2471,72.61,80,44,18.19,scattered clouds
239,Ballyshannon,IE,54.5,-8.1833,50.25,92,10,3.67,clear sky
240,Sinnamary,GF,5.3833,-52.95,79.38,81,100,9.84,overcast clouds
241,Townsville,AU,-19.25,146.8,79.68,54,40,13.8,scattered clouds
242,Turukhansk,RU,65.8167,87.9833,39.88,92,100,4.54,light rain
243,Vestmannaeyjar,IS,63.4427,-20.2734,52.72,86,99,24.9,overcast clouds
244,Severodvinsk,RU,64.5635,39.8302,33.91,69,100,7.25,overcast clouds
245,Ostrovnoy,RU,68.0531,39.5131,36.66,76,4,7.87,clear sky
246,Buala,SB,-8.145,159.5921,82.92,75,99,8.79,moderate rain
247,Bacalar,MX,18.6667,-88.3833,78.01,87,8,4.54,clear sky
248,Madīnat Sittah Uktūbar,EG,29.8167,31.05,76.6,63,0,14.07,clear sky
249,Egvekinot,RU,66.3167,-179.1667,28.31,57,0,2.28,clear sky
250,Kingsport,US,36.5484,-82.5618,74.84,93,40,1.99,scattered clouds
251,Makushino,RU,55.2103,67.2442,36.54,90,100,13.33,overcast clouds
252,Ulladulla,AU,-35.35,150.4667,74.3,35,0,12.08,clear sky
253,Hithadhoo,MV,-0.6,73.0833,82.83,73,56,6.44,broken clouds
254,Coquimbo,CL,-29.9533,-71.3436,53.33,87,0,2.3,clear sky
255,Galle,LK,6.0367,80.217,81.3,80,63,6.55,broken clouds
256,Esperance,AU,-33.8667,121.9,57.79,55,13,11.65,few clouds
257,Bergama,TR,39.1207,27.1805,78.03,53,0,1.23,clear sky
258,Tessalit,ML,20.1986,1.0114,88.56,10,0,9.73,clear sky
259,Najrān,SA,17.4924,44.1277,73.08,19,6,3.13,clear sky
260,Jining,CN,35.405,116.5814,62.71,94,100,15.37,overcast clouds
261,Dunedin,NZ,-45.8742,170.5036,58.8,64,50,11.99,scattered clouds
262,Nuevo Progreso,MX,23.1667,-97.95,81.59,66,5,1.99,clear sky
263,Osório,BR,-29.8867,-50.2697,69.17,98,100,6.42,overcast clouds
264,Kalengwa,ZM,-13.4659,25.0027,63.01,45,1,5.32,clear sky
265,Okha,RU,53.5739,142.9478,53.56,54,47,24.05,light rain
266,Santa Maria,CV,16.6,-22.9,80.56,88,98,8.23,overcast clouds
267,Mapiri,BO,-15.25,-68.1667,69.66,89,88,2.42,overcast clouds
268,Eenhana,NA,-17.4667,16.3333,70.68,23,78,3.76,broken clouds
269,Barrhead,CA,54.1335,-114.4021,50.32,75,76,7.34,broken clouds
270,Ahipara,NZ,-35.1667,173.1667,60.75,64,0,7.83,clear sky
271,Bunia,CD,1.5667,30.25,61.59,90,89,1.63,overcast clouds
272,Port Hardy,CA,50.6996,-127.4199,55.58,100,75,3.44,light intensity shower rain
273,Lagoa,PT,39.05,-27.9833,69.28,62,100,10.92,overcast clouds
274,Nizhnevartovsk,RU,60.9344,76.5531,41.02,93,90,8.95,light rain
275,Monte Gordo,PT,37.1819,-7.4523,70.25,50,0,14.94,clear sky
276,Beringovskiy,RU,63.05,179.3167,35.67,85,100,2.73,overcast clouds
277,Balsas,BR,-7.5325,-46.0356,84.43,32,59,1.72,broken clouds
278,Salalah,OM,17.0151,54.0924,78.89,94,75,5.75,broken clouds
279,Kamina,CD,-8.7386,24.9906,62.31,87,100,2.73,overcast clouds
280,Scarborough,GB,54.2797,-0.4044,57.51,90,83,8.95,broken clouds
281,Peniche,PT,39.3558,-9.3811,65.68,90,3,22.39,clear sky
282,Tasiilaq,GL,65.6145,-37.6368,35.76,70,35,4.23,scattered clouds
283,Yerbogachën,RU,61.2767,108.0108,46.87,81,98,2.51,overcast clouds
284,Victoria,SC,-4.6167,55.45,78.06,83,75,9.22,light rain
285,Barentu,ER,15.1139,37.5928,74.23,68,59,3.71,broken clouds
286,Kuril'sk,RU,45.2333,147.8833,57.22,60,0,11.32,clear sky
287,Yulara,AU,-25.2406,130.9889,73.24,21,9,21.85,clear sky
288,Sena Madureira,BR,-9.0656,-68.6569,78.37,68,29,2.39,scattered clouds
289,Nuuk,GL,64.1835,-51.7216,34.41,86,75,5.75,broken clouds
290,Bagé,BR,-31.3314,-54.1069,64.18,94,0,14.97,clear sky
291,Ternate,ID,0.8,127.4,82.08,76,85,2.1,overcast clouds
292,Boende,CD,-0.2167,20.8667,65.93,99,34,1.45,scattered clouds
293,Pundaguitan,PH,6.3711,126.1689,81.79,73,99,8.23,overcast clouds
294,Acapulco de Juárez,MX,16.8634,-99.8901,82.22,83,90,0.0,overcast clouds
295,Cherskiy,RU,68.75,161.3,35.44,47,100,10.09,overcast clouds
296,Carballo,ES,43.213,-8.691,58.91,91,98,4.92,overcast clouds
297,Jenjarom,MY,2.8766,101.4988,82.54,89,100,5.39,overcast clouds
298,Bubaque,GW,11.2833,-15.8333,81.63,79,100,8.48,light rain
299,Marabba,SD,12.35,32.1833,77.56,75,46,8.19,scattered clouds
300,Porto Walter,BR,-8.2686,-72.7439,79.18,56,10,2.8,clear sky
301,Srikakulam,IN,18.3,83.9,80.01,83,100,5.1,overcast clouds
302,Tabuk,SA,28.3833,36.5833,77.02,25,0,4.61,clear sky
303,Quatre Cocos,MU,-20.2078,57.7625,66.31,62,23,9.69,few clouds
304,Parabel',RU,58.6978,81.4825,35.55,96,100,8.55,overcast clouds
305,Kaukauna,US,44.278,-88.272,73.99,78,40,3.0,scattered clouds
306,Fort Nelson,CA,58.8053,-122.7002,49.59,81,75,3.44,broken clouds
307,Santa Fe,CU,23.1292,-82.2613,80.8,85,59,9.82,broken clouds
308,Chauk,MM,20.8833,94.8167,80.8,83,100,2.82,overcast clouds
309,Pevek,RU,69.7008,170.3133,30.94,70,77,3.67,broken clouds
310,Atasū,KZ,48.6814,71.6433,40.12,48,0,7.11,clear sky
311,Dakar,SN,14.6937,-17.4441,77.88,78,57,11.68,broken clouds
312,Makkah al Mukarramah,SA,21.4267,39.8261,83.37,40,88,6.38,overcast clouds
313,Myrtle Grove,US,30.421,-87.3075,80.49,84,20,5.75,few clouds
314,Mugur-Aksy,RU,50.35,90.5,48.33,46,49,15.99,scattered clouds
315,Bintulu,MY,3.1667,113.0333,81.01,89,20,4.61,light rain
316,Constitucion,MX,23.9912,-104.6749,69.46,60,40,3.51,scattered clouds
317,Smolyaninovo,RU,43.2956,132.4675,62.06,54,95,4.16,overcast clouds
318,Tamandaré,BR,-8.7597,-35.1047,74.25,79,90,6.49,overcast clouds
319,San José,GT,16.9833,-89.9,80.87,71,79,5.61,broken clouds
320,Saint-Pierre,PM,46.7654,-56.1695,56.19,76,68,36.01,broken clouds
321,Nkhotakota,MW,-12.9274,34.2961,70.36,64,0,12.3,clear sky
322,Koumac,NC,-20.5667,164.2833,75.15,53,10,9.4,clear sky
323,Yeppoon,AU,-23.1333,150.7333,82.18,58,0,9.57,clear sky
324,Timrå,SE,62.487,17.3257,44.67,83,90,4.61,overcast clouds
325,Talakan,RU,50.3167,130.3667,58.59,58,0,6.85,clear sky
326,Athens,US,33.9609,-83.3779,75.49,91,40,3.44,scattered clouds
327,Ust-Kuyga,RU,70.0167,135.6,36.55,42,28,3.27,scattered clouds
328,La Rioja,AR,-29.4111,-66.8507,72.79,52,83,14.85,broken clouds
329,Finnsnes,NO,69.2296,17.9811,46.36,84,100,5.03,overcast clouds
330,Pacific Grove,US,36.6177,-121.9166,70.9,84,20,7.0,few clouds
331,Meulaboh,ID,4.1363,96.1285,77.52,83,100,4.41,overcast clouds
332,Pout,SN,14.7739,-17.0603,77.76,88,20,9.22,few clouds
333,Ōzu,JP,33.5,132.55,80.22,82,98,1.95,overcast clouds
334,Kununurra,AU,-15.7667,128.7333,93.18,38,5,10.36,clear sky
335,Fukuechō,JP,32.6881,128.8419,80.96,78,20,11.5,few clouds
336,Esim,GH,4.8699,-2.2405,74.93,93,100,5.61,overcast clouds
337,Amahai,ID,-3.3333,128.9167,82.65,75,42,4.88,scattered clouds
338,Rurrenabaque,BO,-14.4413,-67.5278,74.17,77,22,2.42,few clouds
339,Te Anau,NZ,-45.4167,167.7167,44.47,93,100,5.66,overcast clouds
340,Eyl,SO,7.9803,49.8164,77.77,75,100,16.04,overcast clouds
341,Keelung,TW,25.1283,121.7419,93.09,67,10,2.71,clear sky
342,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,40,0,17.27,clear sky
343,Oistins,BB,13.0667,-59.5333,81.68,67,13,5.57,few clouds
344,Notsé,TG,6.95,1.1667,72.95,97,98,4.74,overcast clouds
345,Sola,VU,-13.8833,167.55,78.71,77,56,24.38,broken clouds
346,Sainte-Anne-des-Monts,CA,49.124,-66.4924,49.87,87,19,10.36,few clouds
347,Xining,CN,36.6167,101.7667,52.66,52,0,2.04,clear sky
